v1	Id(Mab)
5.700000000000002e-003	1.099054e-011
5.800000000000002e-003	1.101900e-011
5.900000000000003e-003	1.104754e-011
6.000000000000003e-003	1.107615e-011
6.100000000000003e-003	1.110485e-011
6.200000000000003e-003	1.113362e-011
6.300000000000004e-003	1.116247e-011
6.400000000000004e-003	1.119140e-011
6.500000000000004e-003	1.122041e-011
6.600000000000004e-003	1.124951e-011
6.700000000000005e-003	1.127868e-011
6.800000000000005e-003	1.130793e-011
6.900000000000005e-003	1.133726e-011
7.000000000000005e-003	1.136667e-011
7.100000000000006e-003	1.139617e-011
7.200000000000006e-003	1.142574e-011
7.300000000000006e-003	1.145540e-011
7.400000000000006e-003	1.148513e-011
7.500000000000007e-003	1.151495e-011
7.600000000000007e-003	1.154485e-011
7.700000000000007e-003	1.157484e-011
7.800000000000007e-003	1.160490e-011
7.900000000000008e-003	1.163505e-011
8.000000000000007e-003	1.166528e-011
8.100000000000007e-003	1.169560e-011
8.200000000000006e-003	1.172600e-011
8.300000000000005e-003	1.175648e-011
8.400000000000005e-003	1.178704e-011
8.500000000000004e-003	1.181769e-011
8.600000000000004e-003	1.184843e-011
8.700000000000003e-003	1.187925e-011
8.800000000000002e-003	1.191015e-011
8.900000000000002e-003	1.194114e-011
9.000000000000001e-003	1.197221e-011
9.100000000000000e-003	1.200337e-011
9.200000000000000e-003	1.203461e-011
9.299999999999999e-003	1.206594e-011
9.399999999999999e-003	1.209736e-011
9.499999999999998e-003	1.212886e-011
9.599999999999997e-003	1.216045e-011
9.699999999999997e-003	1.219213e-011
9.799999999999996e-003	1.222389e-011
9.899999999999996e-003	1.225574e-011
9.999999999999995e-003	1.228768e-011
1.009999999999999e-002	1.231971e-011
1.019999999999999e-002	1.235182e-011
1.029999999999999e-002	1.238403e-011
1.039999999999999e-002	1.241632e-011
1.049999999999999e-002	1.244870e-011
1.059999999999999e-002	1.248117e-011
1.069999999999999e-002	1.251373e-011
1.079999999999999e-002	1.254637e-011
1.089999999999999e-002	1.257911e-011
1.099999999999999e-002	1.261194e-011
1.109999999999999e-002	1.264486e-011
1.119999999999999e-002	1.267786e-011
1.129999999999999e-002	1.271096e-011
1.139999999999999e-002	1.274415e-011
1.149999999999999e-002	1.277744e-011
1.159999999999999e-002	1.281081e-011
1.169999999999999e-002	1.284427e-011
1.179999999999998e-002	1.287783e-011
1.189999999999998e-002	1.291148e-011
1.199999999999998e-002	1.294522e-011
1.209999999999998e-002	1.297906e-011
1.219999999999998e-002	1.301298e-011
1.229999999999998e-002	1.304700e-011
1.239999999999998e-002	1.308112e-011
1.249999999999998e-002	1.311533e-011
1.259999999999998e-002	1.314963e-011
1.269999999999998e-002	1.318402e-011
1.279999999999998e-002	1.321851e-011
1.289999999999998e-002	1.325310e-011
1.299999999999998e-002	1.328778e-011
1.309999999999998e-002	1.332256e-011
1.319999999999998e-002	1.335743e-011
1.329999999999998e-002	1.339240e-011
1.339999999999997e-002	1.342746e-011
1.349999999999997e-002	1.346262e-011
1.359999999999997e-002	1.349788e-011
1.369999999999997e-002	1.353323e-011
1.379999999999997e-002	1.356868e-011
1.389999999999997e-002	1.360423e-011
1.399999999999997e-002	1.363988e-011
1.409999999999997e-002	1.367562e-011
1.419999999999997e-002	1.371146e-011
1.429999999999997e-002	1.374740e-011
1.439999999999997e-002	1.378344e-011
1.449999999999997e-002	1.381958e-011
1.459999999999997e-002	1.385582e-011
1.469999999999997e-002	1.389216e-011
1.479999999999997e-002	1.392860e-011
1.489999999999997e-002	1.396513e-011
1.499999999999997e-002	1.400177e-011
1.509999999999996e-002	1.403851e-011
1.519999999999996e-002	1.407535e-011
1.529999999999996e-002	1.411229e-011
1.539999999999996e-002	1.414934e-011
1.549999999999996e-002	1.418648e-011
1.559999999999996e-002	1.422373e-011
1.569999999999996e-002	1.426108e-011
1.579999999999996e-002	1.429853e-011
1.589999999999996e-002	1.433608e-011
1.599999999999996e-002	1.437374e-011
1.609999999999996e-002	1.441150e-011
1.619999999999996e-002	1.444937e-011
1.629999999999996e-002	1.448734e-011
1.639999999999996e-002	1.452541e-011
1.649999999999996e-002	1.456359e-011
1.659999999999996e-002	1.460187e-011
