Length	gdp	
8.98	2.84E-07	0.000241279
9	2.82E-07	0.000240749
9.02	2.81E-07	0.000240222
9.04	2.80E-07	0.000239697
9.06	2.79E-07	0.000239174
9.08	2.78E-07	0.000238654
9.1	2.77E-07	0.000238135
9.12	2.76E-07	0.000237619
9.14	2.75E-07	0.000237106
9.16	2.73E-07	0.000236594
9.18	2.72E-07	0.000236085
9.2	2.71E-07	0.000235578
9.22	2.70E-07	0.000235073
9.24	2.69E-07	0.00023457
9.26	2.68E-07	0.000234069
9.28	2.67E-07	0.000233571
9.3	2.66E-07	0.000233075
9.32	2.65E-07	0.00023258
9.34	2.64E-07	0.000232088
9.36	2.63E-07	0.000231598
9.38	2.62E-07	0.00023111
9.4	2.61E-07	0.000230624
9.42	2.60E-07	0.00023014
9.44	2.59E-07	0.000229658
9.46	2.58E-07	0.000229178
9.48	2.57E-07	0.0002287
9.5	2.56E-07	0.000228224
9.52	2.55E-07	0.000227751
9.54	2.54E-07	0.000227279
9.56	2.53E-07	0.000226809
9.58	2.52E-07	0.000226341
9.6	2.51E-07	0.000225874
9.62	2.50E-07	0.00022541
9.64	2.49E-07	0.000224948
9.66	2.48E-07	0.000224487
9.68	2.47E-07	0.000224029
9.7	2.46E-07	0.000223572
9.72	2.45E-07	0.000223117
9.74	2.44E-07	0.000222664
9.76	2.43E-07	0.000222213
9.78	2.43E-07	0.000221764
9.8	2.42E-07	0.000221317
9.82	2.41E-07	0.000220871
9.84	2.40E-07	0.000220427
9.86	2.39E-07	0.000219985
9.88	2.38E-07	0.000219544
9.9	2.37E-07	0.000219106
9.92	2.36E-07	0.000218669
9.94	2.35E-07	0.000218234
9.96	2.35E-07	0.000217801
9.98	2.34E-07	0.000217369
10	2.33E-07	0.000216939
10.02	2.33E-07	0.000216939
