Freq.	V(mid)
1.47910838816820e+08	(5.82159446798223e+01dB,1.79828671072569e+02°)
1.51356124843620e+08	(5.82159436526151e+01dB,1.79824680317605e+02°)
1.54881661891247e+08	(5.82159425769973e+01dB,1.79820596606619e+02°)
1.58489319246110e+08	(5.82159414506873e+01dB,1.79816417774429e+02°)
1.62181009735892e+08	(5.82159402712963e+01dB,1.79812141605425e+02°)
1.65958690743755e+08	(5.82159390363224e+01dB,1.79807765832390e+02°)
1.69824365246173e+08	(5.82159377431464e+01dB,1.79803288135302e+02°)
1.73780082874937e+08	(5.82159363890251e+01dB,1.79798706140100e+02°)
1.77827941003891e+08	(5.82159349710863e+01dB,1.79794017417431e+02°)
1.81970085860997e+08	(5.82159334863225e+01dB,1.79789219481358e+02°)
1.86208713666286e+08	(5.82159319315843e+01dB,1.79784309788044e+02°)
1.90546071796324e+08	(5.82159303035739e+01dB,1.79779285734402e+02°)
1.94984459975803e+08	(5.82159285988383e+01dB,1.79774144656719e+02°)
1.99526231496887e+08	(5.82159268137614e+01dB,1.79768883829241e+02°)
2.04173794466952e+08	(5.82159249445570e+01dB,1.79763500462728e+02°)
2.08929613085403e+08	(5.82159229872603e+01dB,1.79757991702979e+02°)
2.13796208950222e+08	(5.82159209377198e+01dB,1.79752354629316e+02°)
2.18776162394954e+08	(5.82159187915880e+01dB,1.79746586253037e+02°)
2.23872113856833e+08	(5.82159165443130e+01dB,1.79740683515832e+02°)
2.29086765276776e+08	(5.82159141911280e+01dB,1.79734643288164e+02°)
2.34422881531991e+08	(5.82159117270418e+01dB,1.79728462367607e+02°)
2.39883291901947e+08	(5.82159091468279e+01dB,1.79722137477152e+02°)
2.45470891568501e+08	(5.82159064450133e+01dB,1.79715665263471e+02°)
2.51188643150956e+08	(5.82159036158674e+01dB,1.79709042295135e+02°)
2.57039578276885e+08	(5.82159006533893e+01dB,1.79702265060802e+02°)
2.63026799189536e+08	(5.82158975512954e+01dB,1.79695329967350e+02°)
2.69153480392690e+08	(5.82158943030061e+01dB,1.79688233337981e+02°)
2.75422870333815e+08	(5.82158909016313e+01dB,1.79680971410265e+02°)
2.81838293126444e+08	(5.82158873399567e+01dB,1.79673540334152e+02°)
2.88403150312659e+08	(5.82158836104277e+01dB,1.79665936169928e+02°)
2.95120922666637e+08	(5.82158797051338e+01dB,1.79658154886131e+02°)
3.01995172040200e+08	(5.82158756157917e+01dB,1.79650192357416e+02°)
3.09029543251357e+08	(5.82158713337276e+01dB,1.79642044362363e+02°)
3.16227766016836e+08	(5.82158668498593e+01dB,1.79633706581250e+02°)
3.23593656929626e+08	(5.82158621546762e+01dB,1.79625174593759e+02°)
3.31131121482589e+08	(5.82158572382198e+01dB,1.79616443876633e+02°)
3.38844156139200e+08	(5.82158520900620e+01dB,1.79607509801286e+02°)
3.46736850452529e+08	(5.82158466992836e+01dB,1.79598367631348e+02°)
3.54813389233573e+08	(5.82158410544505e+01dB,1.79589012520155e+02°)
3.63078054770099e+08	(5.82158351435902e+01dB,1.79579439508188e+02°)
3.71535229097170e+08	(5.82158289541656e+01dB,1.79569643520439e+02°)
3.80189396320559e+08	(5.82158224730489e+01dB,1.79559619363730e+02°)
3.89045144994278e+08	(5.82158156864939e+01dB,1.79549361723960e+02°)
3.98107170553495e+08	(5.82158085801062e+01dB,1.79538865163292e+02°)
4.07380277804110e+08	(5.82158011388135e+01dB,1.79528124117275e+02°)
4.16869383470333e+08	(5.82157933468329e+01dB,1.79517132891898e+02°)
4.26579518801590e+08	(5.82157851876380e+01dB,1.79505885660574e+02°)
4.36515832240163e+08	(5.82157766439235e+01dB,1.79494376461059e+02°)
4.46683592150960e+08	(5.82157676975687e+01dB,1.79482599192293e+02°)
4.57088189614872e+08	(5.82157583295988e+01dB,1.79470547611175e+02°)
4.67735141287195e+08	(5.82157485201452e+01dB,1.79458215329256e+02°)
4.78630092322635e+08	(5.82157382484028e+01dB,1.79445595809360e+02°)
4.89778819368443e+08	(5.82157274925862e+01dB,1.79432682362127e+02°)
5.01187233627269e+08	(5.82157162298833e+01dB,1.79419468142471e+02°)
5.12861383991361e+08	(5.82157044364074e+01dB,1.79405946145961e+02°)
5.24807460249769e+08	(5.82156920871459e+01dB,1.79392109205117e+02°)
5.37031796370249e+08	(5.82156791559078e+01dB,1.79377949985619e+02°)
5.49540873857621e+08	(5.82156656152679e+01dB,1.79363460982427e+02°)
5.62341325190345e+08	(5.82156514365087e+01dB,1.79348634515816e+02°)
5.75439937337153e+08	(5.82156365895596e+01dB,1.79333462727315e+02°)
5.88843655355585e+08	(5.82156210429331e+01dB,1.79317937575551e+02°)
6.02559586074353e+08	(5.82156047636582e+01dB,1.79302050832003e+02°)
6.16595001861478e+08	(5.82155877172100e+01dB,1.79285794076652e+02°)
6.30957344480189e+08	(5.82155698674374e+01dB,1.79269158693533e+02°)
6.45654229034651e+08	(5.82155511764854e+01dB,1.79252135866183e+02°)
6.60693448007591e+08	(5.82155316047159e+01dB,1.79234716572987e+02°)
6.76082975391977e+08	(5.82155111106230e+01dB,1.79216891582411e+02°)
6.91830970918931e+08	(5.82154896507453e+01dB,1.79198651448130e+02°)
7.07945784384133e+08	(5.82154671795736e+01dB,1.79179986504043e+02°)
7.24435960074985e+08	(5.82154436494547e+01dB,1.79160886859171e+02°)
7.41310241300912e+08	(5.82154190104904e+01dB,1.79141342392436e+02°)
7.58577575029178e+08	(5.82153932104315e+01dB,1.79121342747328e+02°)
7.76247116628686e+08	(5.82153661945674e+01dB,1.79100877326440e+02°)
7.94328234724276e+08	(5.82153379056099e+01dB,1.79079935285880e+02°)
8.12830516164093e+08	(5.82153082835722e+01dB,1.79058505529556e+02°)
8.31763771102665e+08	(5.82152772656411e+01dB,1.79036576703334e+02°)
8.51138038202370e+08	(5.82152447860449e+01dB,1.79014137189050e+02°)
8.70963589956074e+08	(5.82152107759133e+01dB,1.78991175098395e+02°)
8.91250938133739e+08	(5.82151751631319e+01dB,1.78967678266658e+02°)
9.12010839355903e+08	(5.82151378721891e+01dB,1.78943634246321e+02°)
9.33254300796984e+08	(5.82150988240167e+01dB,1.78919030300516e+02°)
9.54992586021429e+08	(5.82150579358219e+01dB,1.78893853396319e+02°)
9.77237220955803e+08	(5.82150151209124e+01dB,1.78868090197908e+02°)
9.99999999999992e+08	(5.82149702885126e+01dB,1.78841727059547e+02°)
1.02329299228075e+09	(5.82149233435713e+01dB,1.78814750018427e+02°)
1.04712854805089e+09	(5.82148741865608e+01dB,1.78787144787329e+02°)
1.07151930523760e+09	(5.82148227132660e+01dB,1.78758896747130e+02°)
1.09647819614318e+09	(5.82147688145636e+01dB,1.78729990939136e+02°)
1.12201845430195e+09	(5.82147123761915e+01dB,1.78700412057237e+02°)
1.14815362149687e+09	(5.82146532785068e+01dB,1.78670144439892e+02°)
1.17489755493952e+09	(5.82145913962326e+01dB,1.78639172061922e+02°)
1.20226443461740e+09	(5.82145265981929e+01dB,1.78607478526132e+02°)
1.23026877081237e+09	(5.82144587470354e+01dB,1.78575047054725e+02°)
1.25892541179416e+09	(5.82143876989403e+01dB,1.78541860480541e+02°)
1.28824955169312e+09	(5.82143133033168e+01dB,1.78507901238085e+02°)
1.31825673855640e+09	(5.82142354024841e+01dB,1.78473151354363e+02°)
1.34896288259164e+09	(5.82141538313384e+01dB,1.78437592439504e+02°)
1.38038426460287e+09	(5.82140684170033e+01dB,1.78401205677179e+02°)
1.41253754462274e+09	(5.82139789784650e+01dB,1.78363971814801e+02°)
1.44543977074592e+09	(5.82138853261891e+01dB,1.78325871153510e+02°)
1.47910838816820e+09	(5.82137872617206e+01dB,1.78286883537934e+02°)
1.51356124843620e+09	(5.82136845772641e+01dB,1.78246988345718e+02°)
1.54881661891247e+09	(5.82135770552454e+01dB,1.78206164476830e+02°)
1.58489319246110e+09	(5.82134644678514e+01dB,1.78164390342623e+02°)
1.62181009735892e+09	(5.82133465765492e+01dB,1.78121643854660e+02°)
1.65958690743755e+09	(5.82132231315831e+01dB,1.78077902413289e+02°)
1.69824365246173e+09	(5.82130938714464e+01dB,1.78033142895973e+02°)
1.73780082874936e+09	(5.82129585223306e+01dB,1.77987341645362e+02°)
1.77827941003891e+09	(5.82128167975468e+01dB,1.77940474457106e+02°)
1.81970085860997e+09	(5.82126683969220e+01dB,1.77892516567398e+02°)
1.86208713666285e+09	(5.82125130061652e+01dB,1.77843442640260e+02°)
1.90546071796323e+09	(5.82123502962056e+01dB,1.77793226754542e+02°)
1.94984459975803e+09	(5.82121799224988e+01dB,1.77741842390646e+02°)
1.99526231496886e+09	(5.82120015243008e+01dB,1.77689262416972e+02°)
2.04173794466951e+09	(5.82118147239086e+01dB,1.77635459076066e+02°)
2.08929613085402e+09	(5.82116191258648e+01dB,1.77580403970480e+02°)
2.13796208950221e+09	(5.82114143161253e+01dB,1.77524068048335e+02°)
2.18776162394953e+09	(5.82111998611882e+01dB,1.77466421588574e+02°)
2.23872113856832e+09	(5.82109753071823e+01dB,1.77407434185916e+02°)
2.29086765276775e+09	(5.82107401789126e+01dB,1.77347074735491e+02°)
2.34422881531990e+09	(5.82104939788625e+01dB,1.77285311417162e+02°)
2.39883291901947e+09	(5.82102361861479e+01dB,1.77222111679524e+02°)
2.45470891568501e+09	(5.82099662554245e+01dB,1.77157442223575e+02°)
2.51188643150956e+09	(5.82096836157430e+01dB,1.77091268986062e+02°)
2.57039578276884e+09	(5.82093876693517e+01dB,1.77023557122492e+02°)
2.63026799189536e+09	(5.82090777904438e+01dB,1.76954270989796e+02°)
2.69153480392689e+09	(5.82087533238459e+01dB,1.76883374128665e+02°)
2.75422870333814e+09	(5.82084135836468e+01dB,1.76810829245531e+02°)
2.81838293126443e+09	(5.82080578517615e+01dB,1.76736598194201e+02°)
2.88403150312658e+09	(5.82076853764305e+01dB,1.76660641957137e+02°)
2.95120922666636e+09	(5.82072953706480e+01dB,1.76582920626390e+02°)
3.01995172040199e+09	(5.82068870105190e+01dB,1.76503393384164e+02°)
3.09029543251356e+09	(5.82064594335396e+01dB,1.76422018483029e+02°)
3.16227766016835e+09	(5.82060117367993e+01dB,1.76338753225767e+02°)
3.23593656929625e+09	(5.82055429750992e+01dB,1.76253553944861e+02°)
3.31131121482588e+09	(5.82050521589847e+01dB,1.76166375981616e+02°)
3.38844156139199e+09	(5.82045382526880e+01dB,1.76077173664913e+02°)
3.46736850452528e+09	(5.82040001719753e+01dB,1.75985900289605e+02°)
3.54813389233572e+09	(5.82034367818969e+01dB,1.75892508094546e+02°)
3.63078054770098e+09	(5.82028468944331e+01dB,1.75796948240256e+02°)
3.71535229097169e+09	(5.82022292660335e+01dB,1.75699170786227e+02°)
3.80189396320557e+09	(5.82015825950442e+01dB,1.75599124667873e+02°)
3.89045144994277e+09	(5.82009055190172e+01dB,1.75496757673125e+02°)
3.98107170553493e+09	(5.82001966118987e+01dB,1.75392016418674e+02°)
4.07380277804109e+09	(5.81994543810889e+01dB,1.75284846325871e+02°)
4.16869383470331e+09	(5.81986772643696e+01dB,1.75175191596294e+02°)
4.26579518801588e+09	(5.81978636266923e+01dB,1.75062995186979e+02°)
4.36515832240162e+09	(5.81970117568225e+01dB,1.74948198785332e+02°)
4.46683592150959e+09	(5.81961198638321e+01dB,1.74830742783733e+02°)
4.57088189614870e+09	(5.81951860734351e+01dB,1.74710566253836e+02°)
