
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.312455  0.609007  o
 0.31711  0.550097  o
 0.321765  0.49414  o
 0.326419  0.441138  o
 0.331074  0.39109  o
 0.335728  0.343997  o
 0.340383  0.299859  o
 0.345037  0.258674  o
 0.349692  0.220445  o
 0.354346  0.185169  o
 0.359001  0.152849  o
 0.363655  0.123482  o
 0.36831  0.0970703  o
 0.372965  0.0736128  o
 0.377619  0.0531098  o
 0.382274  0.0355612  o
 0.386928  0.0209671  o
 0.391583  0.00932744  o
 0.396237  0.000642243  o
 0.400892 -0.0050885  o
 0.405546 -0.00786479  o
 0.410201 -0.00768663  o
 0.414855 -0.00455401  o
 0.41951  0.00153306  o
 0.424165  0.0105746  o
 0.428819  0.0225706  o
 0.433474  0.037521  o
 0.438128  0.0554259  o
 0.442783  0.0762852  o
 0.447437  0.100099  o
 0.452092  0.126867  o
 0.456746  0.15659  o
 0.461401  0.189267  o
 0.466055  0.224899  o
 0.47071  0.263485  o
 0.475365  0.305025  o
 0.480019  0.34952  o
 0.484674  0.39697  o
 0.489328  0.447374  o
 0.493983  0.500732  o
 0.498637  0.557045  o
 0.503292  0.616312  o
 0.507946  0.678534  o
 0.512601  0.74371  o
 0.517255  0.811841  o
 0.52191  0.882926  o
 0.526565  0.956965  o
 0.531219  1.03396  o
 0.535874  1.11391  o
 0.540528  1.19681  i
 0.545183  1.28267  i
 0.549837  1.37148  i
 0.554492  1.46325  i
 0.559146  1.55797  i
 0.563801  1.65564  i
 0.568455  1.75627  i
 0.57311  1.85986  i
 0.577765  1.96639  i
 0.582419  2.07589  i
 0.587074  2.18833  i
 0.591728  2.30374  i
 0.596383  2.42209  i
 0.601037  2.5434  i
 0.605692  2.66767  i
 0.610346  2.79489  i
 0.615001  2.92506  i
 0.619655  3.05819  i
 0.62431  3.19427  i
 0.628965  3.33331  i
 0.633619  3.4753  i
 0.638274  3.62025  i
 0.642928  3.76815  i
 0.647583  3.91901  i
 0.652237  4.07282  i
 0.656892  4.22958  i
 0.661546  4.3893  i
