0	n	p
0.0177	6.99035176868E-11	2.22738494395E-11
0.0178	7.01313385051E-11	2.23432065573E-11
0.0179	7.03598998510E-11	2.24127792867E-11
0.018	7.05892041237E-11	2.24825682956E-11
0.0181	7.08192537052E-11	2.25525742538E-11
0.0182	7.10500510420E-11	2.26227978357E-11
0.0183	7.12815985394E-11	2.26932397153E-11
0.0184	7.15138986098E-11	2.27639005691E-11
0.0185	7.17469537226E-11	2.28347810773E-11
0.0186	7.19807662894E-11	2.29058819197E-11
0.0187	7.22153387778E-11	2.29772037803E-11
0.0188	7.24506736561E-11	2.30487473440E-11
0.0189	7.26867733827E-11	2.31205132989E-11
0.019	7.29236404241E-11	2.31925023338E-11
0.0191	7.31612772710E-11	2.32647151410E-11
0.0192	7.33996864304E-11	2.33371524138E-11
0.0193	7.36388703831E-11	2.34098148485E-11
0.0194	7.38788316353E-11	2.34827031430E-11
0.0195	7.41195727168E-11	2.35558179978E-11
0.0196	7.43610961491E-11	2.36291601151E-11
0.0197	7.46034044528E-11	2.37027301999E-11
0.0198	7.48465001820E-11	2.37765289586E-11
0.0199	7.50903858646E-11	2.38505571005E-11
0.02	7.53350640870E-11	2.39248153359E-11
0.0201	7.55805373936E-11	2.39993043799E-11
0.0202	7.58268083526E-11	2.40740249463E-11
0.0203	7.60738795665E-11	2.41489777533E-11
0.0204	7.63217536032E-11	2.42241635217E-11
0.0205	7.65704330721E-11	2.42995829730E-11
0.0206	7.68199205832E-11	2.43752368318E-11
0.0207	7.70702187365E-11	2.44511258243E-11
0.0208	7.73213301750E-11	2.45272506806E-11
0.0209	7.75732575066E-11	2.46036121305E-11
0.021	7.78260033909E-11	2.46802109082E-11
0.0211	7.80795704778E-11	2.47570477498E-11
0.0212	7.83339613999E-11	2.48341233919E-11
0.0213	7.85891788415E-11	2.49114385765E-11
0.0214	7.88452254774E-11	2.49889940441E-11
0.0215	7.91021039909E-11	2.50667905418E-11
0.0216	7.93598170652E-11	2.51448288145E-11
0.0217	7.96183674002E-11	2.52231096132E-11
0.0218	7.98777577045E-11	2.53016336890E-11
0.0219	8.01379907122E-11	2.53804017960E-11
0.022	8.03990691313E-11	2.54594146910E-11
0.0221	8.06609956957E-11	2.55386731321E-11
0.0222	8.09237731649E-11	2.56181778808E-11
0.0223	8.11874042724E-11	2.56979297002E-11
0.0224	8.14518917952E-11	2.57779293563E-11
0.0225	8.17172384922E-11	2.58581776172E-11
0.0226	8.19834471490E-11	2.59386752534E-11
0.0227	8.22505205507E-11	2.60194230382E-11
0.0228	8.25184614911E-11	2.61004217458E-11
0.0229	8.27872727816E-11	2.61816721550E-11
0.023	8.30569572514E-11	2.62631750451E-11
0.0231	8.33275176847E-11	2.63449311991E-11
0.0232	8.35989569550E-11	2.64269414015E-11
0.0233	8.38712778727E-11	2.65092064401E-11
0.0234	8.41444833205E-11	2.65917271040E-11
0.0235	8.44185761442E-11	2.66745041859E-11
0.0236	8.46935591902E-11	2.67575384800E-11
0.0237	8.49694353855E-11	2.68408307841E-11
0.0238	8.52462075758E-11	2.69243818966E-11
0.0239	8.55238786792E-11	2.70081926207E-11
0.024	8.58024515957E-11	2.70922637603E-11
0.0241	8.60819292430E-11	2.71765961222E-11
