v1	Id(Mc2)
2.249999999999992e-002	2.081111e-010
2.259999999999992e-002	2.086668e-010
2.269999999999992e-002	2.092240e-010
2.279999999999992e-002	2.097826e-010
2.289999999999992e-002	2.103428e-010
2.299999999999992e-002	2.109044e-010
2.309999999999992e-002	2.114675e-010
2.319999999999992e-002	2.120322e-010
2.329999999999992e-002	2.125983e-010
2.339999999999991e-002	2.131659e-010
2.349999999999991e-002	2.137350e-010
2.359999999999991e-002	2.143057e-010
2.369999999999991e-002	2.148778e-010
2.379999999999991e-002	2.154515e-010
2.389999999999991e-002	2.160267e-010
2.399999999999991e-002	2.166034e-010
2.409999999999991e-002	2.171816e-010
2.419999999999991e-002	2.177614e-010
2.429999999999991e-002	2.183427e-010
2.439999999999991e-002	2.189256e-010
2.449999999999991e-002	2.195100e-010
2.459999999999991e-002	2.200960e-010
2.469999999999991e-002	2.206835e-010
2.479999999999991e-002	2.212726e-010
2.489999999999991e-002	2.218632e-010
2.499999999999990e-002	2.224554e-010
2.509999999999990e-002	2.230492e-010
2.519999999999990e-002	2.236446e-010
2.529999999999990e-002	2.242415e-010
2.539999999999990e-002	2.248400e-010
2.549999999999990e-002	2.254401e-010
2.559999999999990e-002	2.260418e-010
2.569999999999990e-002	2.266451e-010
2.579999999999990e-002	2.272500e-010
2.589999999999990e-002	2.278565e-010
2.599999999999990e-002	2.284646e-010
2.609999999999990e-002	2.290743e-010
2.619999999999990e-002	2.296857e-010
2.629999999999990e-002	2.302986e-010
2.639999999999990e-002	2.309132e-010
2.649999999999990e-002	2.315294e-010
2.659999999999990e-002	2.321473e-010
2.669999999999989e-002	2.327668e-010
2.679999999999989e-002	2.333879e-010
2.689999999999989e-002	2.340107e-010
2.699999999999989e-002	2.346351e-010
2.709999999999989e-002	2.352612e-010
2.719999999999989e-002	2.358889e-010
2.729999999999989e-002	2.365183e-010
2.739999999999989e-002	2.371494e-010
2.749999999999989e-002	2.377822e-010
2.759999999999989e-002	2.384166e-010
2.769999999999989e-002	2.390527e-010
2.779999999999989e-002	2.396905e-010
2.789999999999989e-002	2.403300e-010
2.799999999999989e-002	2.409712e-010
2.809999999999989e-002	2.416140e-010
2.819999999999989e-002	2.422586e-010
2.829999999999988e-002	2.429049e-010
2.839999999999988e-002	2.435529e-010
2.849999999999988e-002	2.442026e-010
2.859999999999988e-002	2.448541e-010
2.869999999999988e-002	2.455073e-010
2.879999999999988e-002	2.461622e-010
2.889999999999988e-002	2.468188e-010
2.899999999999988e-002	2.474772e-010
2.909999999999988e-002	2.481373e-010
2.919999999999988e-002	2.487992e-010
2.929999999999988e-002	2.494628e-010
2.939999999999988e-002	2.501282e-010
2.949999999999988e-002	2.507953e-010
2.959999999999988e-002	2.514643e-010
2.969999999999988e-002	2.521350e-010
2.979999999999988e-002	2.528074e-010
2.989999999999988e-002	2.534817e-010
2.999999999999987e-002	2.541577e-010
3.009999999999987e-002	2.548355e-010
3.019999999999987e-002	2.555151e-010
3.029999999999987e-002	2.561965e-010
3.039999999999987e-002	2.568798e-010
3.049999999999987e-002	2.575648e-010
3.059999999999987e-002	2.582516e-010
3.069999999999987e-002	2.589403e-010
3.079999999999987e-002	2.596308e-010
3.089999999999987e-002	2.603231e-010
3.099999999999987e-002	2.610173e-010
3.109999999999987e-002	2.617133e-010
3.119999999999987e-002	2.624111e-010
3.129999999999987e-002	2.631108e-010
3.139999999999987e-002	2.638123e-010
3.149999999999988e-002	2.645157e-010
3.159999999999988e-002	2.652210e-010
3.169999999999988e-002	2.659281e-010
3.179999999999988e-002	2.666371e-010
3.189999999999989e-002	2.673479e-010
3.199999999999989e-002	2.680607e-010
3.209999999999989e-002	2.687753e-010
3.219999999999990e-002	2.694919e-010
3.229999999999990e-002	2.702103e-010
3.239999999999990e-002	2.709306e-010
3.249999999999990e-002	2.716529e-010
3.259999999999991e-002	2.723770e-010
3.269999999999991e-002	2.731031e-010
3.279999999999991e-002	2.738311e-010
3.289999999999992e-002	2.745610e-010
3.299999999999992e-002	2.752928e-010
3.309999999999992e-002	2.760266e-010
3.319999999999992e-002	2.767623e-010
3.329999999999993e-002	2.775000e-010
3.339999999999993e-002	2.782396e-010
3.349999999999993e-002	2.789812e-010
3.359999999999994e-002	2.797247e-010
3.369999999999994e-002	2.804703e-010
3.379999999999994e-002	2.812177e-010
3.389999999999994e-002	2.819672e-010
3.399999999999995e-002	2.827186e-010
3.409999999999995e-002	2.834721e-010
3.419999999999995e-002	2.842275e-010
3.429999999999996e-002	2.849849e-010
