v1	Id(M)
2.109999999999993e-002	3.431688e-010
2.119999999999993e-002	3.440825e-010
2.129999999999993e-002	3.449986e-010
2.139999999999993e-002	3.459172e-010
2.149999999999993e-002	3.468382e-010
2.159999999999993e-002	3.477616e-010
2.169999999999992e-002	3.486875e-010
2.179999999999992e-002	3.496158e-010
2.189999999999992e-002	3.505466e-010
2.199999999999992e-002	3.514798e-010
2.209999999999992e-002	3.524155e-010
2.219999999999992e-002	3.533537e-010
2.229999999999992e-002	3.542944e-010
2.239999999999992e-002	3.552375e-010
2.249999999999992e-002	3.561832e-010
2.259999999999992e-002	3.571313e-010
2.269999999999992e-002	3.580820e-010
2.279999999999992e-002	3.590352e-010
2.289999999999992e-002	3.599909e-010
2.299999999999992e-002	3.609491e-010
2.309999999999992e-002	3.619099e-010
2.319999999999992e-002	3.628732e-010
2.329999999999992e-002	3.638390e-010
2.339999999999991e-002	3.648075e-010
2.349999999999991e-002	3.657784e-010
2.359999999999991e-002	3.667520e-010
2.369999999999991e-002	3.677281e-010
2.379999999999991e-002	3.687068e-010
2.389999999999991e-002	3.696881e-010
2.399999999999991e-002	3.706720e-010
2.409999999999991e-002	3.716585e-010
2.419999999999991e-002	3.726476e-010
2.429999999999991e-002	3.736393e-010
2.439999999999991e-002	3.746336e-010
2.449999999999991e-002	3.756306e-010
2.459999999999991e-002	3.766302e-010
2.469999999999991e-002	3.776325e-010
2.479999999999991e-002	3.786374e-010
2.489999999999991e-002	3.796449e-010
2.499999999999990e-002	3.806551e-010
2.509999999999990e-002	3.816680e-010
2.519999999999990e-002	3.826836e-010
2.529999999999990e-002	3.837018e-010
2.539999999999990e-002	3.847228e-010
2.549999999999990e-002	3.857464e-010
2.559999999999990e-002	3.867728e-010
2.569999999999990e-002	3.878019e-010
2.579999999999990e-002	3.888337e-010
2.589999999999990e-002	3.898682e-010
2.599999999999990e-002	3.909054e-010
2.609999999999990e-002	3.919454e-010
2.619999999999990e-002	3.929881e-010
2.629999999999990e-002	3.940336e-010
2.639999999999990e-002	3.950819e-010
2.649999999999990e-002	3.961329e-010
2.659999999999990e-002	3.971867e-010
2.669999999999989e-002	3.982433e-010
2.679999999999989e-002	3.993027e-010
2.689999999999989e-002	4.003649e-010
2.699999999999989e-002	4.014299e-010
2.709999999999989e-002	4.024977e-010
2.719999999999989e-002	4.035683e-010
2.729999999999989e-002	4.046418e-010
2.739999999999989e-002	4.057181e-010
2.749999999999989e-002	4.067972e-010
2.759999999999989e-002	4.078792e-010
2.769999999999989e-002	4.089640e-010
2.779999999999989e-002	4.100517e-010
2.789999999999989e-002	4.111423e-010
2.799999999999989e-002	4.122358e-010
2.809999999999989e-002	4.133321e-010
2.819999999999989e-002	4.144314e-010
2.829999999999988e-002	4.155335e-010
2.839999999999988e-002	4.166386e-010
2.849999999999988e-002	4.177466e-010
2.859999999999988e-002	4.188575e-010
2.869999999999988e-002	4.199713e-010
2.879999999999988e-002	4.210881e-010
2.889999999999988e-002	4.222078e-010
2.899999999999988e-002	4.233305e-010
2.909999999999988e-002	4.244562e-010
2.919999999999988e-002	4.255848e-010
2.929999999999988e-002	4.267164e-010
2.939999999999988e-002	4.278510e-010
2.949999999999988e-002	4.289886e-010
2.959999999999988e-002	4.301292e-010
2.969999999999988e-002	4.312728e-010
2.979999999999988e-002	4.324194e-010
2.989999999999988e-002	4.335690e-010
2.999999999999987e-002	4.347217e-010
3.009999999999987e-002	4.358774e-010
3.019999999999987e-002	4.370362e-010
3.029999999999987e-002	4.381980e-010
3.039999999999987e-002	4.393629e-010
3.049999999999987e-002	4.405309e-010
3.059999999999987e-002	4.417020e-010
3.069999999999987e-002	4.428761e-010
3.079999999999987e-002	4.440533e-010
3.089999999999987e-002	4.452337e-010
3.099999999999987e-002	4.464172e-010
3.109999999999987e-002	4.476038e-010
3.119999999999987e-002	4.487935e-010
3.129999999999987e-002	4.499863e-010
3.139999999999987e-002	4.511823e-010
3.149999999999988e-002	4.523815e-010
3.159999999999988e-002	4.535838e-010
3.169999999999988e-002	4.547893e-010
3.179999999999988e-002	4.559980e-010
3.189999999999989e-002	4.572099e-010
3.199999999999989e-002	4.584249e-010
3.209999999999989e-002	4.596432e-010
