time	V(vin)	V(vout)
1.370305535698729e-003	7.273772e-002	1.126422e-001
1.378676071413014e-003	6.903068e-002	1.084090e-001
1.387046607127300e-003	6.514954e-002	1.037037e-001
1.395417142841586e-003	6.109429e-002	9.852637e-002
1.403787678555871e-003	5.686495e-002	9.287691e-002
1.412158214270157e-003	5.246151e-002	8.675537e-002
1.420528749984443e-003	4.788397e-002	8.016174e-002
1.428341249984443e-003	4.349091e-002	7.350662e-002
1.436153749984443e-003	3.902054e-002	6.655280e-002
1.443966249984443e-003	3.447288e-002	5.930027e-002
1.451778749984443e-003	2.984791e-002	5.174903e-002
1.459591249984443e-003	2.514565e-002	4.389909e-002
1.467403749984443e-003	2.036609e-002	3.575044e-002
1.475216249984443e-003	1.550923e-002	2.730309e-002
1.478843482127300e-003	1.325097e-002	2.335617e-002
1.482470714270157e-003	1.098877e-002	1.939265e-002
1.486097946413014e-003	8.722633e-003	1.541252e-002
1.489725178555871e-003	6.452556e-003	1.141579e-002
1.493352410698729e-003	4.178539e-003	7.402447e-003
1.496979642841586e-003	1.900584e-003	3.372503e-003
1.500606874984443e-003	-3.813099e-004	-6.740466e-004
1.505071160698729e-003	-3.191257e-003	-5.660351e-003
1.509535446413014e-003	-5.993201e-003	-1.061306e-002
1.513999732127300e-003	-8.787142e-003	-1.553218e-002
1.518464017841586e-003	-1.157308e-002	-2.041770e-002
1.522928303555871e-003	-1.435101e-002	-2.526963e-002
1.527392589270157e-003	-1.712094e-002	-3.008796e-002
1.531856874984443e-003	-1.988287e-002	-3.487270e-002
1.539669374984443e-003	-2.469545e-002	-4.312916e-002
1.547481874984443e-003	-2.942069e-002	-5.105706e-002
1.555294374984443e-003	-3.405860e-002	-5.865639e-002
1.563106874984443e-003	-3.860919e-002	-6.592715e-002
1.570919374984443e-003	-4.307244e-002	-7.286933e-002
1.578731874984443e-003	-4.744837e-002	-7.948295e-002
1.586544374984443e-003	-5.173696e-002	-8.576800e-002
1.595472946413014e-003	-5.648711e-002	-9.233761e-002
1.604401517841586e-003	-6.102580e-002	-9.838213e-002
1.613330089270157e-003	-6.535303e-002	-1.039016e-001
1.622258660698729e-003	-6.946879e-002	-1.088959e-001
1.631187232127300e-003	-7.337310e-002	-1.133652e-001
1.640115803555872e-003	-7.706594e-002	-1.173094e-001
1.649044374984443e-003	-8.054732e-002	-1.207285e-001
1.657135892841586e-003	-8.347003e-002	-1.234273e-001
1.665227410698729e-003	-8.616143e-002	-1.258479e-001
1.673318928555872e-003	-8.862150e-002	-1.279905e-001
1.681410446413014e-003	-9.085025e-002	-1.298549e-001
1.689501964270157e-003	-9.284767e-002	-1.314412e-001
1.697593482127300e-003	-9.461378e-002	-1.327495e-001
1.705684999984443e-003	-9.614856e-002	-1.337796e-001
1.719914910698729e-003	-9.821973e-002	-1.351899e-001
1.734144821413014e-003	-9.949939e-002	-1.360574e-001
1.748374732127300e-003	-9.998757e-002	-1.363822e-001
1.762604642841586e-003	-9.968424e-002	-1.361642e-001
1.776834553555872e-003	-9.858941e-002	-1.354035e-001
1.791064464270158e-003	-9.670309e-002	-1.341000e-001
1.805294374984443e-003	-9.402526e-002	-1.322538e-001
1.813385892841586e-003	-9.215772e-002	-1.309194e-001
1.821477410698729e-003	-9.006724e-002	-1.292750e-001
1.829568928555872e-003	-8.775381e-002	-1.273206e-001
1.837660446413015e-003	-8.521744e-002	-1.250563e-001
1.845751964270157e-003	-8.245813e-002	-1.224819e-001
1.853843482127300e-003	-7.947587e-002	-1.195976e-001
1.861934999984443e-003	-7.627067e-002	-1.164034e-001
1.870305535698729e-003	-7.273772e-002	-1.126422e-001
1.878676071413015e-003	-6.903068e-002	-1.084090e-001
1.887046607127300e-003	-6.514954e-002	-1.037037e-001
1.895417142841586e-003	-6.109429e-002	-9.852637e-002
1.903787678555872e-003	-5.686495e-002	-9.287691e-002
1.912158214270157e-003	-5.246151e-002	-8.675537e-002
1.920528749984443e-003	-4.788397e-002	-8.016174e-002
1.926667142841586e-003	-4.444995e-002	-7.499390e-002
1.932805535698729e-003	-4.096302e-002	-6.962486e-002
1.938943928555871e-003	-3.742318e-002	-6.405461e-002
1.945082321413014e-003	-3.383042e-002	-5.828316e-002
1.951220714270157e-003	-3.018474e-002	-5.231050e-002
1.957359107127299e-003	-2.648615e-002	-4.613664e-002
1.963497499984442e-003	-2.273465e-002	-3.976157e-002
1.965450624984442e-003	-2.153792e-002	-3.771612e-002
1.969914910698727e-003	-1.878518e-002	-3.296957e-002
1.974379196413012e-003	-1.602311e-002	-2.818398e-002
1.978843482127297e-003	-1.325172e-002	-2.335934e-002
1.983307767841583e-003	-1.047101e-002	-1.849565e-002
1.987772053555868e-003	-7.680965e-003	-1.359292e-002
1.992236339270153e-003	-4.881600e-003	-8.651144e-003
1.996700624984439e-003	-2.072910e-003	-3.670319e-003
1.998653749984438e-003	-8.458637e-004	-1.498434e-003
2.000000000000000e-003	-4.898587e-017	-9.882428e-007
